method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,requirements_total,requirements_with_ground_truth,ground_truth_links_total,correctly_retrieved_links,requirement_hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_all,40,30,27,196,64,0.8888888888888888,0.05925925925925926,0.8415343915343916,0.10200583112085379,0.16930392949312323,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_orphan,40,30,7,13,7,1.0,0.025,1.0,0.04878048780487806,0.17582417582417584,0.2087912087912088
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_with_linked_widget,40,30,27,183,64,0.8888888888888888,0.05925925925925926,0.8333333333333334,0.10197964681690308,0.17175919028171738,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_linked_widgets,40,30,27,281,70,0.8518518518518519,0.06481481481481481,0.6704126384681941,0.11259635032512448,0.09308691147709089,0.27742966909633576
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,40,30,30,353,76,0.8666666666666667,0.06333333333333332,0.6197768976995343,0.1067679887228965,0.10942784014020258,0.28521112747405847
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_all_resolved,40,30,30,157,61,0.8666666666666667,0.050833333333333335,0.6415328353563647,0.08552748760780444,0.16226494902262428,0.1919650073699863
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_functional_resolved,40,30,30,150,56,0.8333333333333334,0.04666666666666667,0.6401624649859944,0.07946560914943604,0.15669814345423602,0.18279834070331966
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_linked_resolved,40,30,27,85,45,0.8518518518518519,0.041666666666666664,0.7079053843759726,0.07447401659035303,0.14749350594361071,0.16926163776716993
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_all,50,30,27,196,69,0.8888888888888888,0.051111111111111114,0.8542328042328042,0.08936304962419797,0.17227579357911776,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_orphan,50,30,7,13,7,1.0,0.02,1.0,0.03921568627450981,0.17582417582417584,0.2087912087912088
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_with_linked_widget,50,30,27,183,69,0.8888888888888888,0.051111111111111114,0.8469135802469135,0.0893536717433685,0.17480160110492526,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_linked_widgets,50,30,27,281,76,0.8518518518518519,0.056296296296296296,0.6937109367664923,0.09918315464959265,0.09534711773168353,0.27742966909633576
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,50,30,30,353,89,0.9,0.059333333333333335,0.6577294931521298,0.10109259903300888,0.11320031323750047,0.2859863212725081
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_all_resolved,50,30,30,157,68,0.8666666666666667,0.04533333333333334,0.672197323373794,0.07768313120957818,0.1652019814304274,0.1919650073699863
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_functional_resolved,50,30,30,150,63,0.8333333333333334,0.042,0.6711232492997199,0.07266502273684133,0.15961803708624994,0.18279834070331966
