direction,method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k,hit_at_k
forward,Stella 1.5B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.09722222222222222,0.31024555671927384,0.13008634338114175,0.09930059523809524,0.33332231040564375,0.6111111111111112
backward,VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.09564393939393939,0.2424242424242424,0.13257575757575757,0.18023989898989898,0.18229166666666669,0.25
backward,VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.0662287903667214,0.1590038314176245,0.0883050538222952,0.13035942346287174,0.13218390804597702,0.16912972085385877
backward,VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.062388591800356503,0.1605201171377642,0.08752546473134708,0.15073529411764705,0.15819964349376114,0.17245989304812834
backward,VSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.06734434561626429,0.1794578568403219,0.09590367277787863,0.15667796131582662,0.16327827191867852,0.1880559085133418
backward,VSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.06837606837606838,0.17165242165242164,0.09437321937321937,0.13354700854700854,0.13532763532763534,0.17735042735042736
backward,VSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.0593607305936073,0.14637239979705735,0.08050059191611703,0.10988499915440554,0.11212582445459159,0.1552511415525114
backward,VSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.0587991718426501,0.1537089618456078,0.08302573203194322,0.1390614216701173,0.1463768115942029,0.1639751552795031
backward,VSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.05959031657355679,0.15646182495344507,0.08438680500133014,0.1405027932960894,0.1500931098696462,0.1664804469273743
backward,LSI,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.07686622320768662,0.17405764966740578,0.0996550874599655,0.14239960581423997,0.14449371766444938,0.18403547671840353
backward,LSI,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.04523107177974434,0.10644051130776795,0.059373975745657157,0.09541953457882661,0.09636184857423795,0.11209439528023599
backward,LSI,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.0251937984496124,0.06771594684385382,0.03573920265780731,0.06434108527131784,0.06821705426356589,0.07441860465116279
backward,LSI,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.041379310344827586,0.10329501915708811,0.05719485495347565,0.09521072796934865,0.1053639846743295,0.11609195402298851
backward,LSI,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.04744300677757239,0.10135551447935921,0.058595194085027724,0.08985417950297803,0.09242144177449169,0.11090573012939002
backward,LSI,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.029601029601029602,0.06241956241956242,0.036550836550836546,0.052123552123552123,0.05276705276705277,0.0682110682110682
backward,LSI,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.026578073089700997,0.0724015187470337,0.03780256288561937,0.0673987941429802,0.07087486157253599,0.07751937984496124
backward,LSI,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,3,0.03286852589641434,0.07908366533864543,0.04466420034149118,0.07478419654714474,0.08482735723771581,0.09262948207171315
backward,JSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,3,0.09767025089605734,0.25492831541218636,0.13751493428912784,0.18906810035842292,0.19265232974910396,0.26344086021505375
backward,JSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,3,0.05277329025309639,0.13597199784598815,0.07373900556453061,0.11452162986896428,0.11739364566505117,0.1421647819063005
backward,JSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,3,0.05636431504292646,0.1434143870314083,0.07880072521729857,0.13008585293019784,0.13736468831653603,0.15565509518477044
